system,sample_id,question_type,prediction,gold_answer,exact_match,f1_score,time_seconds
Vanilla RAG,187,bridge,Unknown,Greenwich Village,0.0,0.16068049875238566,2.196904834099884
Vanilla RAG,188,bridge,Not stated,David Weissman,0.0,0.1819895653568556,2.111645658803304
Vanilla RAG,189,bridge,I dont know,no,0.0,0.1719230347940538,2.455436388806128
Vanilla RAG,190,bridge,yes,Kansas Song,0.0,0.29657038403796193,2.2053007486603606
Vanilla RAG,191,bridge,yes,Animorphs,0.0,0.17380961439282086,2.608929958350848
Vanilla RAG,192,bridge,Unknown,yes,0.0,0.2890091601542429,2.1932897084776624
Vanilla RAG,193,bridge,no,Chief of Protocol,0.0,0.18154817519514055,2.4879834109389916
Vanilla RAG,194,bridge,Not stated,Terry Richardson,0.0,0.31062722483710903,2.1698499008569807
Vanilla RAG,195,bridge,I dont know,yes,0.0,0.3032735252945338,2.3815820342183813
Vanilla RAG,196,bridge,Unknown,3677,0.0,0.1705253088108281,2.4709909648158632
Vanilla RAG,197,bridge,Unknown,1986 to 2013,0.0,0.20712638021213287,2.3235812235186764
Vanilla RAG,198,bridge,no,Eenasul Fateh,0.0,0.15657431808841252,2.403549447903717
Vanilla RAG,199,bridge,Not stated,no,0.0,0.17732550153879667,2.330744093997543
Vanilla RAG,200,bridge,Not stated,YG Entertainment,0.0,0.23579545793345807,2.5595584105983833
Vanilla RAG,201,bridge,Not stated,1999,0.0,0.21368676545891593,2.238327882780838
Vanilla RAG,202,bridge,no,Greenwich Village,0.0,0.20788010102807947,2.633846933384204
Vanilla RAG,203,bridge,no,David Weissman,0.0,0.3274651555978322,2.6785928249387734
Vanilla RAG,204,bridge,yes,no,0.0,0.22990525873529288,2.4024897622134063
Vanilla RAG,205,bridge,yes,Kansas Song,0.0,0.27915643150674757,2.218954502676513
Vanilla RAG,206,bridge,no,Animorphs,0.0,0.1585682638696522,2.2357524099922195
Vanilla RAG,207,bridge,Unknown,yes,0.0,0.28641587287259285,2.2416762847995693
Vanilla RAG,208,bridge,Unknown,Chief of Protocol,0.0,0.24728180614639478,2.105031060580016
Vanilla RAG,209,bridge,Unknown,Terry Richardson,0.0,0.20432385730130737,2.702817115318494
Vanilla RAG,210,bridge,Not stated,yes,0.0,0.2338228690198274,2.3284254919413305
Vanilla RAG,211,bridge,yes,3677,0.0,0.30015594044689964,2.378949816721855
Vanilla RAG,212,bridge,yes,1986 to 2013,0.0,0.26405668205130367,2.1907688436851918
Vanilla RAG,213,bridge,Not stated,Eenasul Fateh,0.0,0.26434207380531494,2.1908514122102747
Vanilla RAG,214,bridge,I dont know,no,0.0,0.27817555991832194,2.1452287958936105
Vanilla RAG,215,bridge,Unknown,YG Entertainment,0.0,0.15031043471917527,2.387483986879204
Vanilla RAG,216,bridge,yes,1999,0.0,0.15963155086893394,2.1966074464266536
Vanilla RAG,217,bridge,I dont know,Greenwich Village,0.0,0.318763185504216,2.494099359805442
Vanilla RAG,218,bridge,no,David Weissman,0.0,0.32237761977402285,2.0172393006446003
Vanilla RAG,219,bridge,yes,no,0.0,0.22953633492086506,2.2188789560255358
Vanilla RAG,220,bridge,I dont know,Kansas Song,0.0,0.30210371396735336,2.931302187654427
Vanilla RAG,221,bridge,Not stated,Animorphs,0.0,0.29633386963449343,2.499562608572557
Vanilla RAG,222,bridge,no,yes,0.0,0.24979404228763447,2.4782132303820004
Vanilla RAG,223,bridge,no,Chief of Protocol,0.0,0.20278277051822957,2.589601877363862
Vanilla RAG,224,bridge,Not stated,Terry Richardson,0.0,0.23587580602392516,2.300894369205856
Vanilla RAG,225,bridge,Not stated,yes,0.0,0.3116986988791405,2.4262695542762587
Vanilla RAG,226,bridge,yes,3677,0.0,0.19283121140093462,2.384717181916657
Vanilla RAG,227,bridge,I dont know,1986 to 2013,0.0,0.150373545064179,2.4910432983870114
Vanilla RAG,228,bridge,I dont know,Eenasul Fateh,0.0,0.30374437556463685,2.398355781988317
Vanilla RAG,229,bridge,no,no,0.0,0.17589046206761175,2.48224778327367
Vanilla RAG,230,bridge,yes,YG Entertainment,0.0,0.3036019198408081,2.5912298294671867
Vanilla RAG,231,bridge,Unknown,1999,0.0,0.14513069041357574,2.619640911168413
Vanilla RAG,232,bridge,Not stated,Greenwich Village,0.0,0.2912046506840177,2.7063326228408355
Vanilla RAG,233,bridge,no,David Weissman,0.0,0.28116688586139754,2.0011647473025986
Vanilla RAG,234,bridge,Not stated,no,0.0,0.25995016454947345,2.101031520791413
Vanilla RAG,235,bridge,Not stated,Kansas Song,0.0,0.16102539179482553,2.040408770711011
Vanilla RAG,236,bridge,Unknown,Animorphs,0.0,0.3024866082170515,2.7721130570751535
Vanilla RAG,237,bridge,Not stated,yes,0.0,0.32087258120149104,2.3293328721728135
Vanilla RAG,238,bridge,no,Chief of Protocol,0.0,0.2790530393271611,2.0471397747394358
Vanilla RAG,239,bridge,Unknown,Terry Richardson,0.0,0.27058979456382437,2.4201977310523826
Vanilla RAG,240,bridge,I dont know,yes,0.0,0.3270298713321789,2.490397125809005
Vanilla RAG,241,bridge,Not stated,3677,0.0,0.21562001678290083,2.319001847536789
Vanilla RAG,242,bridge,no,1986 to 2013,0.0,0.21829722827822595,2.3306030395492234
Vanilla RAG,243,bridge,I dont know,Eenasul Fateh,0.0,0.17293946740631147,2.536710590463361
Vanilla RAG,244,bridge,Not stated,no,0.0,0.13220685200141177,2.234160321295716
Vanilla RAG,245,bridge,no,YG Entertainment,0.0,0.17402294651931538,2.5238772371242946
Vanilla RAG,246,bridge,yes,1999,0.0,0.1294381677970187,2.339157005852807
Vanilla RAG,247,bridge,yes,Greenwich Village,0.0,0.17378835676223087,2.2882943833238585
Vanilla RAG,248,bridge,yes,David Weissman,0.0,0.2999270800507493,2.2821604924901804
Vanilla RAG,249,bridge,I dont know,no,0.0,0.23083122396171782,2.760658647282788
Vanilla RAG,250,bridge,no,Kansas Song,0.0,0.2617955556592561,2.6674491721611244
Vanilla RAG,251,bridge,Not stated,Animorphs,0.0,0.23584678627895092,2.50338425538558
Vanilla RAG,252,bridge,no,yes,0.0,0.24324232994418,2.585595335384724
Vanilla RAG,253,bridge,Unknown,Chief of Protocol,0.0,0.2849238848581507,2.825611044194312
Vanilla RAG,254,bridge,yes,Terry Richardson,0.0,0.16608198287237552,2.187568187154219
Vanilla RAG,255,bridge,I dont know,yes,0.0,0.2597965499029326,2.4623435042003066
Vanilla RAG,256,bridge,Unknown,3677,0.0,0.21271572460398414,2.7442451018035663
Vanilla RAG,257,bridge,yes,1986 to 2013,0.0,0.30076734967392066,2.483563205618917
Vanilla RAG,258,bridge,yes,Eenasul Fateh,0.0,0.2626729094586603,2.433418210689635
Vanilla RAG,259,bridge,I dont know,no,0.0,0.1401225348154027,2.053170834857452
Vanilla RAG,260,bridge,yes,YG Entertainment,0.0,0.28811850217233975,2.734039079801141
Vanilla RAG,261,bridge,no,1999,0.0,0.17773126678405712,2.299605211813848
Vanilla RAG,262,bridge,no,Greenwich Village,0.0,0.23525715078206888,2.6855104418358593
Vanilla RAG,263,bridge,I dont know,David Weissman,0.0,0.21237632796688083,2.4556030635901607
Vanilla RAG,264,bridge,yes,no,0.0,0.22052561368019347,2.3340203473880017
Vanilla RAG,265,bridge,Not stated,Kansas Song,0.0,0.21662614901069138,2.5205774982917126
Vanilla RAG,266,bridge,Not stated,Animorphs,0.0,0.14758174564032006,2.255188819711667
Vanilla RAG,267,bridge,yes,yes,0.0,0.2952055170159904,2.2305579188930174
Vanilla RAG,268,bridge,no,Chief of Protocol,0.0,0.3132733966016255,2.3579763225080996
Vanilla RAG,269,bridge,Unknown,Terry Richardson,0.0,0.16126222212078278,1.9757598357136181
Vanilla RAG,270,bridge,Unknown,yes,0.0,0.2242716835942079,2.258415400548561
Vanilla RAG,271,bridge,no,3677,0.0,0.30848857310210975,2.4293728958221834
Vanilla RAG,272,bridge,Unknown,1986 to 2013,0.0,0.2037946237953832,2.279384137877955
Vanilla RAG,273,bridge,Unknown,Eenasul Fateh,0.0,0.1810406116344304,2.510265313211053
Vanilla RAG,274,bridge,Not stated,no,0.0,0.18504984578938405,2.358400634533965
Vanilla RAG,275,bridge,Unknown,YG Entertainment,0.0,0.26037426239014905,2.5735343657071583
Vanilla RAG,276,bridge,I dont know,1999,0.0,0.1589593650548128,2.599314779116579
Vanilla RAG,277,bridge,yes,Greenwich Village,0.0,0.17154017968283497,2.1940380631971816
Vanilla RAG,278,bridge,Not stated,David Weissman,0.0,0.24383605816325124,2.5435958489811683
Vanilla RAG,279,bridge,I dont know,no,0.0,0.14019151429530316,2.9023992469457562
Vanilla RAG,280,bridge,Not stated,Kansas Song,0.0,0.1394330545814966,2.5986930683121683
Vanilla RAG,281,bridge,Not stated,Animorphs,0.0,0.22335770342178696,2.7222229785584564
Vanilla RAG,282,bridge,Not stated,yes,0.0,0.15948654558789666,2.3249916268972397
Vanilla RAG,283,bridge,no,Chief of Protocol,0.0,0.14402229304811737,2.7176084369597233
Vanilla RAG,284,bridge,yes,Terry Richardson,0.0,0.14170426654075846,2.618336094408366
Vanilla RAG,285,bridge,no,yes,0.0,0.263042510720818,2.2703701402137617
Vanilla RAG,286,bridge,Not stated,3677,0.0,0.2087551102636555,2.299501193117574
Vanilla RAG,287,bridge,Not stated,1986 to 2013,0.0,0.17724306955772495,2.713114184794643
Vanilla RAG,288,bridge,yes,Eenasul Fateh,0.0,0.13594833245781288,2.1904829510406563
Vanilla RAG,289,bridge,Not stated,no,0.0,0.21184498306717447,2.1789728192284126
Vanilla RAG,290,bridge,I dont know,YG Entertainment,0.0,0.24104538476881787,1.7551390627195838
Vanilla RAG,291,bridge,no,1999,0.0,0.3149412515472855,2.5792814810902556
Vanilla RAG,292,bridge,I dont know,Greenwich Village,0.0,0.26194519495396584,2.479172515949677
Vanilla RAG,293,bridge,Unknown,David Weissman,0.0,0.1757371905231692,2.364383058324739
Vanilla RAG,294,bridge,I dont know,no,0.0,0.15417565642549128,1.9438481054782797
Vanilla RAG,295,bridge,yes,Kansas Song,0.0,0.2194449145140904,2.382095231369914
Vanilla RAG,296,bridge,Not stated,Animorphs,0.0,0.12986309137684926,2.108427016042541
Vanilla RAG,297,bridge,yes,yes,0.0,0.3276908881708885,2.468712191171745
Vanilla RAG,298,bridge,no,Chief of Protocol,0.0,0.14265214421992659,2.199279971315416
Vanilla RAG,299,bridge,no,Terry Richardson,0.0,0.22917693880975307,2.3354047550511563
Vanilla RAG,300,bridge,yes,yes,0.0,0.3146518755987418,2.36930253361961
Vanilla RAG,301,bridge,I dont know,3677,0.0,0.30385404849690856,2.3514332564562146
Vanilla RAG,302,bridge,Unknown,1986 to 2013,0.0,0.18499747824333135,2.0117903663988717
Vanilla RAG,303,bridge,I dont know,Eenasul Fateh,0.0,0.2947489909279614,2.1718926998568078
Vanilla RAG,304,bridge,Not stated,no,0.0,0.25033555314519,2.182403193926935
Vanilla RAG,305,bridge,Not stated,YG Entertainment,0.0,0.12956462143043157,2.062101969947094
Vanilla RAG,306,bridge,yes,1999,0.0,0.18787575043999558,2.296642687822616
Vanilla RAG,307,bridge,no,Greenwich Village,0.0,0.3157860007854208,2.565547713330009
Vanilla RAG,308,bridge,yes,David Weissman,0.0,0.1808931842974255,2.3193420006858063
Vanilla RAG,309,bridge,no,no,0.0,0.27648333679619974,2.732581990493887
Vanilla RAG,310,bridge,Not stated,Kansas Song,0.0,0.18246964246296327,2.2512841086089277
Vanilla RAG,311,bridge,I dont know,Animorphs,0.0,0.17012593096138862,2.1880690544545542
