sample_id,system,question,gold_answer,prediction,exact_match,f1_score,time_seconds
159,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,Not stated,0.0,0.17172759496072065,2.532621916647088
160,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Not stated,0.0,0.24840374580999608,2.26142638036611
161,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Not stated,0.0,0.1677675301373297,2.282496123003889
162,Vanilla RAG,Are Local H and For Against both from the United States?,yes,Unknown,0.0,0.21190396419233176,2.285961319931169
163,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,yes,0.0,0.24585313677518172,2.2770800464101697
164,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,no,0.0,0.2797614734259535,2.343259454307629
165,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,I dont know,0.0,0.26762787899764534,2.2057630903900245
166,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,no,0.0,0.18357426833432836,2.1731940868535435
167,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,I dont know,0.0,0.31944261444135624,1.719673064836035
168,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Unknown,0.0,0.14844205530396973,2.259811102985198
169,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,I dont know,0.0,0.14734327536669278,2.080125252160996
170,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,yes,0.0,0.2487452062733782,2.508871262986117
171,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,Not stated,0.0,0.27394635733876355,2.0540220927192845
172,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Unknown,0.0,0.15296523257064187,2.5063646325596167
173,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,I dont know,0.0,0.14376003961569161,2.087031181341624
174,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,Not stated,0.0,0.29388093285059896,2.4163151272046557
175,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,I dont know,0.0,0.30509034958736136,2.2176828131985444
176,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,yes,0.0,0.2434704290513524,1.9757487733954064
177,Vanilla RAG,Are Local H and For Against both from the United States?,yes,no,0.0,0.13716487673113242,1.852828518555209
178,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,yes,0.0,0.28261366815773836,2.2124889336867057
179,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,yes,0.0,0.2990635442030294,2.366729269786917
180,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Unknown,0.0,0.20402524500783323,2.4120256139207417
181,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,I dont know,0.0,0.25513688885288005,2.3799825125219383
182,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,I dont know,0.0,0.16053081943121694,2.2136962348076095
183,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,I dont know,0.0,0.16990140615429752,2.4355311448371864
184,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,yes,0.0,0.26836406269171026,2.3999109578294466
185,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,no,0.0,0.24982620113339765,1.909235429868395
186,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,no,0.0,0.23482797540594158,2.4611322107897746
187,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Unknown,0.0,0.16068049875238566,2.196904834099884
188,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,Not stated,0.0,0.1819895653568556,2.111645658803304
189,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,I dont know,0.0,0.1719230347940538,2.455436388806128
190,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,yes,0.0,0.29657038403796193,2.2053007486603606
191,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,yes,0.0,0.17380961439282086,2.608929958350848
192,Vanilla RAG,Are Local H and For Against both from the United States?,yes,Unknown,0.0,0.2890091601542429,2.1932897084776624
193,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,no,0.0,0.18154817519514055,2.4879834109389916
194,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Not stated,0.0,0.31062722483710903,2.1698499008569807
195,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,I dont know,0.0,0.3032735252945338,2.3815820342183813
196,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,Unknown,0.0,0.1705253088108281,2.4709909648158632
197,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,Unknown,0.0,0.20712638021213287,2.3235812235186764
198,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,no,0.0,0.15657431808841252,2.403549447903717
199,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Not stated,0.0,0.17732550153879667,2.330744093997543
200,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,Not stated,0.0,0.23579545793345807,2.5595584105983833
201,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,Not stated,0.0,0.21368676545891593,2.238327882780838
202,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,no,0.0,0.20788010102807947,2.633846933384204
203,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,no,0.0,0.3274651555978322,2.6785928249387734
204,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,yes,0.0,0.22990525873529288,2.4024897622134063
205,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,yes,0.0,0.27915643150674757,2.218954502676513
206,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,no,0.0,0.1585682638696522,2.2357524099922195
207,Vanilla RAG,Are Local H and For Against both from the United States?,yes,Unknown,0.0,0.28641587287259285,2.2416762847995693
208,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Unknown,0.0,0.24728180614639478,2.105031060580016
209,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Unknown,0.0,0.20432385730130737,2.702817115318494
210,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Not stated,0.0,0.2338228690198274,2.3284254919413305
